amplitude__length,amplitude__mean,amplitude__maximum,amplitude__minimum,amplitude__abs_energy,amplitude__count_below_mean,"amplitude__augmented_dickey_fuller__attr_""pvalue""__autolag_""AIC""",amplitude__number_cwt_peaks__n_15,amplitude__number_peaks__n_30,amplitude__range_count__max_1__min_0,amplitude__sample_entropy,amplitude__first_location_of_minimum,amplitude__first_location_of_maximum,amplitude__mean_second_derivative_central,amplitude__median,amplitude__standard_deviation,amplitude__sum_values,amplitude__variance
6210.0,0.003670660098693447,1.026421,-1.0354537,435.59475008728924,3253.0,1.243030263275483e-13,205.0,87.0,3186.0,0.3172474211556101,0.4822866344605475,0.5576489533011272,-4.168446015625e-08,0.0006249613200000001,0.2648218427435697,22.794799212886307,0.07013060839409994
6557.0,0.005214598533678358,0.9576526,-0.9587819,714.7487068274107,3451.0,2.148341228822039e-26,232.0,100.0,3367.0,0.5689685783844272,0.09470794570687814,0.22144273295714503,-2.6914154843630814e-08,0.0012775285,0.33011854471755286,34.192122585328995,0.10897825356643495
8969.0,0.0034772699275034814,0.95801556,-1.012135,952.2828092541939,4977.0,7.659568326861847e-17,247.0,126.0,4415.0,0.13225617032737103,0.5481101572081615,0.5782138476976252,-5.0432357533177206e-08,-0.00035321026,0.325826369738405,31.187633979778724,0.1061628232169078
7417.0,-0.0004315804214007489,0.9532192,-0.94617164,564.125158908295,3404.0,2.3355504679269905e-20,285.0,109.0,3929.0,0.43334405340326965,0.5452339220709181,0.36214102736955645,1.1534297281861092e-07,0.0014560848,0.27578653803602016,-3.2010319855293545,0.07605821456189318
4830.0,0.0019168047472556923,0.9738902,-0.973856,386.72863813432366,2472.0,1.2183269184811424e-12,108.0,76.0,2421.0,0.5479284442286211,0.34720496894409936,0.6857142857142857,6.193753728251864e-08,0.00035507007,0.2829564752416173,9.258166929244993,0.08006436688115999
4312.0,-0.008199487324190862,0.7871567,-0.8149849,222.26362563797457,1962.0,1.1093320766599259e-07,237.0,67.0,2138.0,0.7555684582195228,0.1583951762523191,0.026901669758812616,-8.292866995359628e-07,-0.00041773038,0.22688793739294175,-35.356189341911,0.05147813613442345
5520.0,-0.001551877399275182,1.0539509,-1.0535651,427.6381566439541,2596.0,1.9341982547413988e-25,265.0,88.0,2842.0,0.48155720911069,0.14891304347826087,0.06539855072463768,1.989785248278362e-08,0.00162915845,0.27833122754728506,-8.566363243999005,0.07746827222797857
6037.0,0.00882513607680346,0.96895444,-0.9870821,817.4356474237018,3183.0,9.769923426893922e-07,284.0,88.0,3154.0,0.7724205248458526,0.0556567831704489,0.025343713765115124,-6.73371623860812e-08,0.0029376063,0.36786736532965864,53.27734649566249,0.13532639847458452
7718.0,7.220042198012064e-05,0.41991848,-0.3100359,10.535321565024207,3909.0,9.950616183573111e-19,223.0,114.0,3861.0,0.4246240649650015,0.23062969681264575,0.03355791655869396,-5.795205333074131e-09,1.310739365e-07,0.03694627696651303,0.5572428568425711,0.0013650273816862913
3105.0,-0.015737251358720568,0.76223207,-0.7865148,145.31932332803711,1379.0,1.885896165835456e-14,63.0,42.0,1253.0,0.2677633086593535,0.3822866344605475,0.056682769726247986,6.021910710602643e-07,-0.0071092425,0.2157638833471522,-48.86416546882736,0.04655405335704351
2760.0,-0.028447399020079714,0.88803035,-0.9227411,241.8199602122192,1078.0,1.572624474362637e-07,107.0,36.0,1299.0,0.21208096358242262,0.36594202898550726,0.5782608695652174,1.8718606961566352e-07,-0.0032883227,0.29462972202769233,-78.51482129542,0.08680667310211526
5347.0,-0.03462271624430653,0.8801358,-0.9234417,589.1347257523919,2401.0,0.00015173392882602822,203.0,74.0,2434.0,0.46677361383296617,0.8311202543482327,0.5793903123246681,1.4703825790458373e-06,-0.014478079,0.33012375143663775,-185.12766375830702,0.10898169126259899
4830.0,-0.0010078822421368534,0.9655826,-0.99587303,565.5067208015834,2348.0,9.2625148717993e-13,247.0,67.0,2418.0,0.5134123107747475,0.05403726708074534,0.6262939958592133,-7.884655136702568e-08,0.000123892953,0.3421711866672996,-4.868071229521002,0.117081120985308
6210.0,-0.00017733470126940268,0.7993383,-0.8274864,289.0426285180692,2956.0,5.168228260684442e-27,214.0,93.0,3247.0,0.8193958252476581,0.15104669887278582,0.20450885668276972,7.714856636597939e-07,0.0033935184,0.21574214988750612,-1.1012484948829906,0.04654467523808315
5002.0,0.0009368451801561352,0.8815148,-0.903884,440.27822611355367,2506.0,1.3408540344533534e-12,193.0,71.0,2538.0,0.4509871902942737,0.3102758896441423,0.47820871651339464,9.517654000000022e-09,0.00078104588,0.2966809049618799,4.686099591140988,0.08801955936900001
6037.0,0.0038190171591554935,1.0052879,-1.0039539,778.5312620197221,3084.0,3.987045586418564e-14,279.0,99.0,3093.0,0.6673241368176672,0.18370051350008282,0.6965380155706477,5.788691052195526e-08,0.0017269404,0.35908964392578413,23.055406589821715,0.12894537237474643
5347.0,-0.0010582749718021415,1.0484967,-1.0212022,793.3594441319618,2534.0,1.5196778313070242e-17,206.0,81.0,2717.0,0.3224331367645143,0.6887974565176734,0.24985973443052178,-5.335217824134705e-08,7.139236e-05,0.3851928941411916,-5.658596274226051,0.14837356569686724
5865.0,0.003238268039260869,0.9714886,-0.93446696,712.8248249495728,3067.0,8.82918870665854e-16,246.0,94.0,2893.0,0.487020333730335,0.15993179880647912,0.12429667519181585,-5.171771848882824e-07,-0.0015432201,0.3486090549631503,18.992442050264998,0.12152827320230075
4140.0,-0.0031822692418951685,0.9818797,-0.9468761,370.02036758943717,2002.0,1.6660958794875642e-06,187.0,67.0,2072.0,0.3805285788305071,0.44516908212560385,0.5171497584541063,-9.989249075640406e-07,7.4135e-05,0.29894275964872286,-13.174594661445997,0.0893667735463941
2933.0,-0.005967078523894137,0.8038426,-0.84889615,140.0990527539113,1254.0,3.8775541997998525e-05,46.0,37.0,1407.0,0.2571680023823744,0.616092737811115,0.6014319809069213,-3.477363101330604e-07,-0.0005908308,0.21847394053584376,-17.501441310581505,0.04773086269325939
3968.0,8.276218061895136e-05,1.039851,-1.0022533,500.2724350793228,1933.0,1.9645707252583593e-09,92.0,53.0,2035.0,0.41477565965648705,0.3155241935483871,0.024949596774193547,-7.62195655572365e-07,0.00159745375,0.3550728315439721,0.328400332695999,0.126076715700654
5865.0,0.0015052697282898545,0.8979471,-0.9302789,493.5122136827763,2970.0,5.386621853681009e-21,190.0,94.0,2977.0,0.569678888347241,0.6366581415174766,0.7444160272804774,-1.585470782875661e-07,0.0008810684,0.2900741959202775,8.828406956419997,0.08414303913879553
2243.0,-0.011984781934923186,0.98469007,-0.86636853,112.62762273929944,978.0,0.010406475825649866,46.0,30.0,943.0,0.21462626097504844,0.463664734730272,0.41506910387873386,8.627924091923248e-07,-0.0058279512,0.2237617131071871,-26.881865880032706,0.05006930425266311
1725.0,-0.09593022759875304,0.57867146,-0.7682423,61.46965399364641,755.0,0.13720585748610148,63.0,24.0,468.0,0.2102428785000795,0.6243478260869565,0.33043478260869563,4.622627307022634e-06,-0.057555716,0.16257912983576245,-165.479642607849,0.026431973458153703
6900.0,0.0025514057890255503,1.0461907,-1.036198,762.7816871300068,3522.0,4.682127456311698e-16,262.0,100.0,3466.0,0.8578745424474378,0.3327536231884058,0.5004347826086957,2.3367544215714703e-07,0.000497727725,0.3324779104347406,17.604699944276298,0.11054156092705142
4830.0,0.0001759332279234166,0.895338,-0.8847909,295.7150791027568,2437.0,2.593396135564303e-13,211.0,78.0,2405.0,0.6750296601110007,0.6797101449275362,0.7343685300207039,1.8945683872100246e-06,-0.000144669785,0.24743609903577346,0.8497574908701022,0.06122462310604109
6382.0,0.001981756907180663,1.0233238,-1.0632046,627.2808703335365,3237.0,2.7160687773509094e-12,295.0,93.0,3264.0,0.6212472665380132,0.5239736759636477,0.27624569100595425,-1.8556229012539185e-06,0.0010441288,0.3135046198221484,12.647572581626992,0.0982851466498298
4657.0,0.009578688190762295,1.0386356,-1.0587053,690.2361923388087,2456.0,1.1192691542275396e-19,191.0,76.0,2415.0,0.48844588680397594,0.4966716770453081,0.02855915825638823,-7.686402964554242e-07,0.0024780727,0.38486753636382637,44.607950904380004,0.1481230205467612
4830.0,-0.003693406505062941,0.9056027,-0.94197065,330.6234257306104,2244.0,2.122441518678877e-06,136.0,61.0,2377.0,0.5337733641389895,0.2708074534161491,0.061076604554865424,-2.6838819179784594e-07,-0.0005039536,0.26160736565524656,-17.839153419454004,0.06843841376507787
4140.0,-0.017092471671036443,0.96886986,-0.9570567,371.52041708937685,1673.0,4.092850879816726e-17,115.0,56.0,2057.0,0.3429278832301724,0.4920289855072464,0.2891304347826087,4.2787645275495404e-07,-2.09454665e-06,0.2990770445774528,-70.76283271809088,0.08944707859318371
4485.0,0.0019146252985339574,1.017768,-0.9783961,422.1238334051167,2180.0,3.1661399193584243e-12,139.0,75.0,2409.0,0.29292526040156525,0.296098104793757,0.09141583054626533,2.7283979087664515e-07,0.0035478899,0.30678226906099904,8.5870944639248,0.0941153606102152
5002.0,0.005479250462763298,0.9555515,-0.95831484,542.1875538960393,2644.0,1.0256286407540904e-13,91.0,68.0,2607.0,0.49620571469299907,0.1801279488204718,0.2512994802079168,-5.8359944e-08,0.0016428652500000002,0.3291870758889646,27.407210814742015,0.10836413093232695
4485.0,-0.0012187551295545134,0.85581684,-0.9208419,324.7325438868238,2199.0,4.843159517764822e-06,91.0,68.0,2241.0,0.48025210052725975,0.029654403567447047,0.05150501672240803,2.733131735445014e-07,-1.5294005e-05,0.26907740388562135,-5.466116756051992,0.07240264928182578
6727.0,0.007875093435306929,1.0055158,-1.0060166,607.8149422353359,3558.0,2.2591722846640703e-12,316.0,114.0,3687.0,0.39349787758246274,0.20781923591496954,0.13037015014122194,4.162503643122677e-08,0.0036296605,0.3004871307006755,52.975753539309714,0.09029251571672484
5692.0,0.0018048978017800449,0.9473352,-0.9098225,722.3870944949098,2829.0,3.631990697886056e-22,210.0,81.0,2912.0,0.5973302941648875,0.19307800421644414,0.04409697821503865,-5.591797943760984e-07,0.00248016495,0.3562435170142896,10.273478287732015,0.12690944341471042
6037.0,0.024622699362147425,0.9757646,-0.974571,724.3999422501547,3117.0,8.421436680414771e-17,145.0,81.0,3524.0,0.6557804683528778,0.21749213185356966,0.043399039257909555,-5.692386296603147e-07,0.015616621,0.3455243657148031,148.647236049284,0.11938708730261702
8279.0,-0.0004837637605509244,0.7723122,-0.8519772,408.9531233094459,4170.0,1.0148468279454687e-19,278.0,127.0,4068.0,0.8210031342503091,0.14603212948423722,0.07537142166928373,-1.3145051830373323e-07,-0.0009380302,0.22225257153931888,-4.005080173601103,0.04939620555584006
8797.0,0.002851141588723543,1.04882,-1.0576917,1046.9982922780184,4616.0,1.295240555631904e-12,264.0,130.0,4308.0,0.6114217169583316,0.5994088893941116,0.2465613277253609,1.100685827174531e-07,-0.0016911618,0.34497757008164887,25.08149255600101,0.11900952385943897
3968.0,0.003426054337618699,0.9796678,-1.040539,547.357827842752,2137.0,1.216889764880767e-11,162.0,56.0,1898.0,0.2602206601033222,0.18371975806451613,0.5630040322580645,1.2551167044881492e-06,-0.0031983235,0.37139098416643235,13.594583611670998,0.1379312631201112
2243.0,-0.024655738124699733,0.8460729,-0.9347429,200.70355253208248,927.0,3.985560758891391e-05,19.0,25.0,1071.0,0.22955995207475285,0.6990637539010254,0.02630405706642889,-2.719060174029451e-06,-0.004535784,0.29811416534873925,-55.3028206137015,0.08887205558157546
3450.0,-0.0014925358414414065,0.5963688,-0.7637852,111.0245156712273,1596.0,4.544396558015835e-18,48.0,38.0,1783.0,0.21811362952518037,0.4582608695652174,0.06376811594202898,-4.067231165313225e-07,0.000124366045,0.17938447918340192,-5.149248652972853,0.032178791371900356
5002.0,0.0011215008995709725,1.1040188,-1.0351965,552.9522834714429,2562.0,6.047268658665984e-08,220.0,74.0,2490.0,0.6344291152801587,0.20651739304278288,0.13854458216713314,-1.690332742e-07,-0.00025380461,0.33248305285343677,5.609747499654004,0.11054498043474124
3278.0,-0.00412230570004911,0.93886685,-0.9099163,371.76013577360254,1591.0,3.017855104997849e-05,54.0,52.0,1606.0,0.6988994156892026,0.7830994508846858,0.23062843197071384,-6.712320894383395e-07,-0.0013604881,0.3367397574459695,-13.512918084760985,0.11339366424477039
4485.0,-0.0021008700718490527,0.88652956,-1.0128891,401.43927288527766,2135.0,2.022560771204511e-06,71.0,57.0,2243.0,0.366389882187283,0.004905239687848384,0.1551839464882943,1.715051742136962e-06,0.0,0.2991699694158799,-9.422402272243001,0.08950267060029853
5692.0,-0.0011519340521624374,0.9911355,-0.9804068,438.22379859005093,2837.0,1.2762586020030806e-15,183.0,90.0,2823.0,0.5167893672764842,0.6105059732958539,0.5604356992269852,-1.7560912829525484e-07,-0.000874204505,0.27746728915832153,-6.556808624908594,0.0769880965528676
5520.0,-0.0004217518067244758,0.83803195,-0.87467647,241.12870903544515,2719.0,1.7942237026589308e-12,195.0,84.0,2766.0,0.6402628465405824,0.09384057971014492,0.6559782608695652,1.3326705146792318e-07,3.3721055e-05,0.20900373027655728,-2.3280699731191064,0.043682559269515905
3795.0,-0.0004705699530189225,0.97231007,-0.9758571,321.4816681645699,1946.0,0.00013288136847931643,166.0,61.0,1832.0,0.45689999347614935,0.20632411067193676,0.031093544137022398,-5.126729541260216e-07,-0.0021063571,0.2910527110053586,-1.785812971706811,0.0847116805835688
8279.0,-0.000165968849954306,0.7122053,-0.77156734,197.1183079798392,4179.0,7.265089639535819e-19,278.0,128.0,4084.0,0.5367140487522684,0.23795144341104,0.260297137335427,-2.5849600096653376e-08,-0.0005658487,0.15430297121140632,-1.3740561087716994,0.023809406924668083
7762.0,-0.0010354830590716029,0.9986023,-1.0088263,798.8785276647773,3855.0,4.533893127118347e-16,233.0,117.0,3816.0,0.6201566777082175,0.2852357639783561,0.3125483122906467,3.4241563556701033e-07,-0.00037831926500000003,0.3208125082164296,-8.037419504513782,0.10292066542811669
7417.0,0.000998139500979575,0.97583294,-0.98975813,516.5431114234746,3773.0,5.269507232564045e-29,279.0,118.0,3700.0,0.23706003371590245,0.06700822434946745,0.16934070378859378,-1.288001166554282e-07,-0.00031559594,0.2638979649476759,7.403200678765508,0.06964213590352479
3795.0,-0.005373570002438751,0.9945549,-0.9668431,545.1922632444437,1774.0,3.600896727298079e-10,135.0,61.0,1876.0,0.2333630405313628,0.12173913043478261,0.45691699604743086,8.120278671236488e-08,-0.0002569967,0.378987862829616,-20.39269815925506,0.14363180017215982
4430.0,0.01900706799522295,0.33009833,-0.18952288,14.784260602078446,3387.0,0.0010037310175076996,110.0,53.0,2711.0,0.17292572802837078,0.009029345372460496,0.06681715575620767,4.288756436314363e-08,7.6542642e-06,0.05455305896593378,84.20131121883767,0.002976036242540648
