url	nom	numero	types	taille	poids	groupe_oeufs	couleur	empreinte	corps
https://www.pokepedia.fr/Bulbizarre	Bulbizarre	1	['Plante', 'Poison']	0.7	6.9	['Monstrueux', 'Végétal']	Vert	001	Quadrupède
https://www.pokepedia.fr/Herbizarre	Herbizarre	2	['Plante', 'Poison']	1.0	13.0	['Monstrueux', 'Végétal']	Vert	002	Quadrupède
https://www.pokepedia.fr/Florizarre	Florizarre	3	['Plante', 'Poison']	2.0	100.0	['Monstrueux', 'Végétal']	Vert	003	Quadrupède
https://www.pokepedia.fr/Salam%C3%A8che	Salamèche	4	['Feu']	0.6	8.5	['Draconique', 'Monstrueux']	Rouge	004	Bipède disposant d'une queue
https://www.pokepedia.fr/Reptincel	Reptincel	5	['Feu']	1.1	19.0	['Monstrueux', 'Draconique']	Rouge	005	Bipède disposant d'une queue
https://www.pokepedia.fr/Dracaufeu	Dracaufeu	6	['Feu', 'Vol']	1.7	90.5	['Draconique', 'Monstrueux']	Rouge	006	Bipède disposant d'une queue
https://www.pokepedia.fr/Carapuce	Carapuce	7	['Eau']	0.5	9.0	['Aquatique 1', 'Monstrueux']	Bleu	007	Bipède disposant d'une queue
https://www.pokepedia.fr/Carabaffe	Carabaffe	8	['Eau']	1.0	22.5	['Aquatique 1', 'Monstrueux']	Bleu	008	Bipède disposant d'une queue
https://www.pokepedia.fr/Tortank	Tortank	9	['Eau']	1.6	85.5	['Aquatique 1', 'Monstrueux']	Bleu	009	Bipède disposant d'une queue
https://www.pokepedia.fr/Chenipan	Chenipan	10	['Insecte']	0.3	2.9	['Insectoïde']	Vert	010	Corps serpentin
https://www.pokepedia.fr/Chrysacier	Chrysacier	11	['Insecte']	0.7	9.9	['Insectoïde']	Vert	011	Corps serpentin
https://www.pokepedia.fr/Papilusion	Papilusion	12	['Insecte', 'Vol']	1.1	32.0	['Insectoïde']	Blanc	012	Dispose de deux paires d'ailes
https://www.pokepedia.fr/Aspicot	Aspicot	13	['Insecte', 'Poison']	0.3	3.2	['Insectoïde']	Brun	013	Corps serpentin
https://www.pokepedia.fr/Coconfort	Coconfort	14	['Insecte', 'Poison']	0.6	10.0	['Insectoïde']	Jaune	014	Corps serpentin
https://www.pokepedia.fr/Dardargnan	Dardargnan	15	['Insecte', 'Poison']	1.0	29.5	['Insectoïde']	Jaune	015	Dispose de deux paires d'ailes
https://www.pokepedia.fr/Roucool	Roucool	16	['Normal', 'Vol']	0.3	1.8	['Aérien']	Brun	016	Dispose d'une seule paire d'ailes
https://www.pokepedia.fr/Roucoups	Roucoups	17	['Normal', 'Vol']	1.1	30.0	['Aérien']	Brun	017	Dispose d'une seule paire d'ailes
https://www.pokepedia.fr/Roucarnage	Roucarnage	18	['Normal', 'Vol']	1.5	39.5	['Aérien']	Brun	018	Dispose d'une seule paire d'ailes
https://www.pokepedia.fr/Rattata	Rattata	19	['Normal']	0.3	3.5	['Terrestre']	Violet	019	Quadrupède
https://www.pokepedia.fr/Rattatac	Rattatac	20	['Normal']	0.7	18.5	['Terrestre']	Brun	020	Quadrupède
https://www.pokepedia.fr/Piafabec	Piafabec	21	['Normal', 'Vol']	0.3	2.0	['Aérien']	Brun	021	Dispose d'une seule paire d'ailes
https://www.pokepedia.fr/Rapasdepic	Rapasdepic	22	['Normal', 'Vol']	1.2	38.0	['Aérien']	Brun	022	Dispose d'une seule paire d'ailes
https://www.pokepedia.fr/Abo	Abo	23	['Poison']	2.0	6.9	['Terrestre', 'Draconique']	Violet	vide	Corps serpentin
https://www.pokepedia.fr/Arbok	Arbok	24	['Poison']	3.5	65.0	['Terrestre', 'Draconique']	Violet	vide	Corps serpentin
https://www.pokepedia.fr/Pikachu	Pikachu	25	['Électrik']	0.4	6.0	['Terrestre', 'Féerique']	Jaune	025	Quadrupède
https://www.pokepedia.fr/Raichu	Raichu	26	['Électrik']	0.8	30.0	['Terrestre', 'Féerique']	Jaune	026	Bipède disposant d'une queue
https://www.pokepedia.fr/Sabelette	Sabelette	27	['Sol']	0.6	12.0	['Terrestre']	Jaune	027	Bipède disposant d'une queue
https://www.pokepedia.fr/Sablaireau	Sablaireau	28	['Sol']	1.0	29.5	['Terrestre']	Jaune	028	Bipède disposant d'une queue
https://www.pokepedia.fr/Nidoran%E2%99%80	Nidoran♀	29	['Poison']	0.4	7.0	['Monstrueux', 'Terrestre']	Bleu	029	Quadrupède
https://www.pokepedia.fr/Nidorina	Nidorina	30	['Poison']	0.8	20.0	['Inconnu']	Bleu	030	Quadrupède
https://www.pokepedia.fr/Nidoqueen	Nidoqueen	31	['Poison', 'Sol']	1.3	60.0	['Inconnu']	Bleu	031	Bipède disposant d'une queue
https://www.pokepedia.fr/Nidoran%E2%99%82	Nidoran♂	32	['Poison']	0.5	9.0	['Monstrueux', 'Terrestre']	Violet	032	Quadrupède
https://www.pokepedia.fr/Nidorino	Nidorino	33	['Poison']	0.9	19.5	['Monstrueux', 'Terrestre']	Violet	033	Quadrupède
https://www.pokepedia.fr/Nidoking	Nidoking	34	['Poison', 'Sol']	1.4	62.0	['Monstrueux', 'Terrestre']	Violet	034	Bipède disposant d'une queue
https://www.pokepedia.fr/M%C3%A9lof%C3%A9e	Mélofée	35	['Fée']	0.6	7.5	['Féerique']	Rose	035	Bipède disposant d'une queue
